food,lyric,song,album,notes,type of food,,
the fruits of hard labor ok,Finally eatin' the fruits of hard labor 'cause I stayed wit' it,i come from the game,practice makes paper,,metaphorical,,One word that means two things is a double entendre
baking soda,"Mix it with the baking soda, push it like a baby stroller",don't @ me,practice makes paper,,,,"split it up into food as food, and food as other things"
bacon fat,Used to keep the bacon fat up in a can of Folger's,blossom,practice makes paper,,,,
water,"Keep on the water on the stove, make it hot, shit was real",blossom,practice makes paper,,beverage,,where he shops? he references Food 4 Less at one point in practice makes paper
in-n-out burger,My street was like a drive-thru service like In-n-Out Burger,made this way,practice makes paper,,,,"Weikel's, Smart & Final, Target"
pickle,"A pickle, a pea, a pound?",made this way,practice makes paper,,condiments,,You liable to find me up in Chavez Supermarket
pea,"A pickle, a pea, a pound?",made this way,practice makes paper,,produce,,Meet me at the parking lot at Trader Joe's
moscow mule,"I'm on this Moscow Mule, vodka, and ginger beer",another one,practice makes paper,,alcoholic beverage,,i think i just labeled the nuts as produce...
cookies,"A couple of packs of the dank, some Cookies, Runtz, and some Mambas",another one,practice makes paper,,,,Gab in reverse spells bag
runtz,"A couple of packs of the dank, some Cookies, Runtz, and some Mambas",another one,practice makes paper,,,,Back in the day I used to bag them bags
chitlin,"chitlin, hog maw, and tripe / Barbecue burnings and biscuit, ox tails, gravy, and rice (Rice)",another one,practice makes paper,,,,"A pay-pay, and I ain't talkin' Safeway"
hog maw,"chitlin, hog maw, and tripe / Barbecue burnings and biscuit, ox tails, gravy, and rice (Rice)",another one,practice makes paper,,,,
tripe,"chitlin, hog maw, and tripe / Barbecue burnings and biscuit, ox tails, gravy, and rice (Rice)",another one,practice makes paper,,,,Over there by Safeway in them Section 8 houses
bbq,"chitlin, hog maw, and tripe / Barbecue burnings and biscuit, ox tails, gravy, and rice (Rice)",another one,practice makes paper,,,,
biscuit,"chitlin, hog maw, and tripe / Barbecue burnings and biscuit, ox tails, gravy, and rice (Rice)",another one,practice makes paper,,,,Jimmy's Grocery
ox tails,"chitlin, hog maw, and tripe / Barbecue burnings and biscuit, ox tails, gravy, and rice (Rice)",another one,practice makes paper,,,,
gravy,"chitlin, hog maw, and tripe / Barbecue burnings and biscuit, ox tails, gravy, and rice (Rice)",another one,practice makes paper,,,,note - as of sharp on all 4 corners corner 2 im gonna stop doing references to cheese as money. i have enough and its boring
rice,"chitlin, hog maw, and tripe / Barbecue burnings and biscuit, ox tails, gravy, and rice (Rice)",another one,practice makes paper,,,,
butter,"Haters can't stand me, everything I do is butter, candy",in the struggle,practice makes paper,,,,‘Meet me at 6 o’clock in the parking lot at Trader Joe’s’
candy,"Haters can't stand me, everything I do is butter, candy",in the struggle,practice makes paper,,,,
pop tart,Toast him with the toaster like a Pop-Tart,in the struggle,practice makes paper,,,,I tried to remove as many weed strains as i could... so mountain dew is out for example
new england clam chowder,And a thumper that'll turn your cranium into New England clam chowder,stayed down,practice makes paper,,,,
fried bologna,The soil love me like fried bologna (Fried bologna),all day,practice makes paper,,,,Lucky's or Safeway
cheese and grits,I'm havin' my cheese and grits with my prawns and my fried fish,all day,practice makes paper,,,,For supplies and utensils
prawns,I'm havin' my cheese and grits with my prawns and my fried fish,all day,practice makes paper,,,,
fried fish,I'm havin' my cheese and grits with my prawns and my fried fish,all day,practice makes paper,,,,
wine,You could bring your own bottle of wine and pay the corkage fee in the restaurant,bet you didn't know,practice makes paper,,alcoholic beverage,,coscto luckys or winkles
oatmeal,Oatmeal can scrape the plaque off of your arteries,bet you didn't know,practice makes paper,,,,
apple cidar vinegar,Apple cider vinegar lowers cholesterol,bet you didn't know,practice makes paper,,,,"examples that don't count: girl scout cookies bc that's what the actual weed strain is called, cauliflower ear because that's what the actual injury is called"
champagne,"That ain't champagne if it ain't from Champagne, France",bet you didn't know,practice makes paper,,alcoholic beverage,,
tequila,"It can't be tequila if ain't from Jalisco, Mexico",bet you didn't know,practice makes paper,,alcoholic beverage,,
Jack Daniel's whiskey,Bet y'all didn't know there was a black man named Nearest Green / That taught Jack Daniels how to make whiskey,,practice makes paper,,alcoholic beverage,,
peanut butter,"George Washington Carver invented peanut butter, that's what they say / Have you ever had a sandwich called PB&J?",,practice makes paper,,condiments,,
apple,Some of you niggas can't tell an apple from a pear (From a pear),keep on gassin,practice makes paper,,produce,,
pear,Some of you niggas can't tell an apple from a pear (From a pear),keep on gassin,practice makes paper,,produce,,
